commune_code;commune;population_2020;departement_code;departement;region_code;region
57221;Florange;11895;57;Moselle;44;Grand Est
57222;Folkling;1295;57;Moselle;44;Grand Est
57224;Folschviller;4041;57;Moselle;44;Grand Est
57225;Fonteny;144;57;Moselle;44;Grand Est
57226;Fontoy;3023;57;Moselle;44;Grand Est
57227;Forbach;21627;57;Moselle;44;Grand Est
57228;Fossieux;217;57;Moselle;44;Grand Est
57229;Foulcrey;180;57;Moselle;44;Grand Est
57230;Fouligny;195;57;Moselle;44;Grand Est
57231;Foville;102;57;Moselle;44;Grand Est
57232;Francaltroff;762;57;Moselle;44;Grand Est
57233;Fraquelfing;80;57;Moselle;44;Grand Est
57234;Frauenberg;575;57;Moselle;44;Grand Est
57235;Freistroff;1074;57;Moselle;44;Grand Est
57236;Frémery;78;57;Moselle;44;Grand Est
57237;Frémestroff;299;57;Moselle;44;Grand Est
57238;Fresnes-en-Saulnois;179;57;Moselle;44;Grand Est
57239;Freybouse;434;57;Moselle;44;Grand Est
57240;Freyming-Merlebach;13004;57;Moselle;44;Grand Est
57241;Fribourg;164;57;Moselle;44;Grand Est
57242;Gandrange;2846;57;Moselle;44;Grand Est
57244;Garrebourg;499;57;Moselle;44;Grand Est
57245;Gavisse;566;57;Moselle;44;Grand Est
57246;Gelucourt;220;57;Moselle;44;Grand Est
57247;Gerbécourt;94;57;Moselle;44;Grand Est
57248;Givrycourt;91;57;Moselle;44;Grand Est
57249;Glatigny;251;57;Moselle;44;Grand Est
57250;Goetzenbruck;1551;57;Moselle;44;Grand Est
57251;Goin;333;57;Moselle;44;Grand Est
57252;Gomelange;507;57;Moselle;44;Grand Est
57253;Gondrexange;483;57;Moselle;44;Grand Est
57254;Gorze;1176;57;Moselle;44;Grand Est
57255;Gosselming;594;57;Moselle;44;Grand Est
57256;Gravelotte;830;57;Moselle;44;Grand Est
57257;Grémecey;105;57;Moselle;44;Grand Est
57258;Gréning;137;57;Moselle;44;Grand Est
57259;Grindorff-Bizing;318;57;Moselle;44;Grand Est
57260;Grosbliederstroff;3326;57;Moselle;44;Grand Est
57261;Gros-Réderching;1338;57;Moselle;44;Grand Est
57262;Grostenquin;617;57;Moselle;44;Grand Est
57263;Grundviller;670;57;Moselle;44;Grand Est
57264;Guebenhouse;427;57;Moselle;44;Grand Est
57265;Guébestroff;44;57;Moselle;44;Grand Est
57266;Guéblange-lès-Dieuze;163;57;Moselle;44;Grand Est
57267;Le Val-de-Guéblange;860;57;Moselle;44;Grand Est
57268;Guébling;126;57;Moselle;44;Grand Est
57269;Guénange;7191;57;Moselle;44;Grand Est
57270;Val-de-Bride;591;57;Moselle;44;Grand Est
57271;Guenviller;651;57;Moselle;44;Grand Est
57272;Guermange;93;57;Moselle;44;Grand Est
57273;Guerstling;417;57;Moselle;44;Grand Est
57274;Guerting;860;57;Moselle;44;Grand Est
57275;Guessling-Hémering;916;57;Moselle;44;Grand Est
57276;Guinglange;332;57;Moselle;44;Grand Est
57277;Guinkirchen;154;57;Moselle;44;Grand Est
57278;Guinzeling;69;57;Moselle;44;Grand Est
57280;Guntzviller;388;57;Moselle;44;Grand Est
57281;Haboudange;270;57;Moselle;44;Grand Est
